ID,SITECODE,SITENAME,GNIS_NAME,Mismatch,lat,lon,StationName,COMID,Comment,July.Q.mn,August.Q.mn,July.Q.md,August.Q.md
T01054200,USGS01054200,"Wild River at Gilead, Maine",NA,x,44.39055556,-70.97972222,"Wild River at Gilead, Maine",6716129,PLD,89.95106974,89.80327861,55.6102483,61.63261634
T01055100,USGS01055100,"Androscoggin River at Jay, Mai",Androscoggin River,NA,44.5025,-70.22444444,"Androscoggin River at Jay, Maine",6710305,prox & upstrm industrial,NA,NA,NA,NA
T01076000,USGS01076000,"BAKER RIVER NEAR RUMNEY, NH",Baker River,NA,43.79562647,-71.84535937,"BAKER RIVER NEAR RUMNEY, NH",6730287,PLD,130.5575849,103.1540306,91.3537685,77.90980695
T01076500,USGS01076500,PEMIGEWASSET RIVER AT PLYMOUTH,Pemigewasset River,NA,43.75923884,-71.68563373,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",6731463,prox & upstrm suburban,732.9086468,659.7715431,538.306977,536.5893554
T01095220,USGS01095220,STILLWATER RIVER NEAR STERLING,Stillwater River,NA,42.41089868,-71.79117972,"STILLWATER RIVER NEAR STERLING, MA",6078267,PLD,25.64804531,20.79630407,20.57284805,16.87316182
T01095375,USGS01095375,QUINAPOXET RIVER AT CANADA MIL,NA,x,42.37286967,-71.82812785,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",6078329,suburban,32.46840623,27.69018468,27.10941585,20.55521051
T01102345,USGS01102345,SAUGUS RIVER AT SAUGUS IRONWOR,Saugus River,NA,42.46954044,-71.00699537,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",5867391,suburban,18.62766511,13.56438033,14.6323032,13.08446677
T01102500,USGS01102500,"ABERJONA RIVER AT WINCHESTER,",NA,x,42.44731791,-71.13894269,"ABERJONA RIVER AT WINCHESTER, MA",5867393,suburban,27.85158979,21.68659999,22.50082976,20.01049668
T01104415,USGS01104415,"CAMBRIDGE RES., UNNAMED TRIB 2",Hobbs Brook,m,42.43580249,-71.2599482,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",NA,suburban,NA,NA,NA,NA
T01104430,USGS01104430,HOBBS BK BELOW CAMBRIDGE RES N,Hobbs Brook,NA,42.39815121,-71.27339026,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",5866423,prox impoundment,5.410114479,4.16139613,4.034028751,3.742369017
T01104433,USGS01104433,"HOBBS BROOK, UNNAMED TRIBUTARY",NA,x,42.39120689,-71.27116794,"HOBBS BROOK, UNNAMED TRIBUTARY 1, NEAR WESTON, MA",NA,suburban,NA,NA,NA,NA
T01104453,USGS01104453,STONY BROOK UNNAMED TRIB 2 NR,Stony Brook,NA,42.37138889,-71.27527778,STONY BROOK UNNAMED TRIB 2 NR WESTON STATION,NA,suburban,NA,NA,NA,NA
T01104455,USGS01104455,"STONY BROOK, UNNAMED TRIBUTARY",Stony Brook,NA,42.37259606,-71.27033448,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",NA,suburban,NA,NA,NA,NA
T01104460,USGS01104460,STONY BROOK AT RT 20 AT WALTHA,Stony Brook,NA,42.368985,-71.27061225,"STONY BROOK AT RT 20 AT WALTHAM, MA",5866457,suburban,16.05087836,12.08082609,11.53242525,11.25313854
T01104475,USGS01104475,"STONY BROOK RES., UNNAMED TRIB",NA,x,42.3545408,-71.2681121,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",5866465,suburban,0.567308896,0.435957528,0.417319879,0.389770215
T01104480,USGS01104480,STONY BROOK RESERVOIR AT DAM N,Stony Brook,NA,42.35565192,-71.26505646,"STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",5867733,impoundment,16.91689203,12.7219978,12.14418998,11.86882017
T01110535,USGS01110535,BLACKSTONE R E.HARTFORD RD NR,Blackstone River,NA,42.09737733,-71.62321766,"BLACKSTONE R E.HARTFORD RD NR UXBRIDGE,MA",6117028,"prox impoundment, upstrm suburban",122.6435051,97.11971066,94.4044952,82.78635774
T01115098,USGS01115098,PEEPTOAD BROOK AT ELMDALE RD N,Peeptoad Brook,NA,41.8525992,-71.6061754,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",6128495,lake outlet,4.121247341,3.465452999,3.115616073,3.015943411
T01115110,USGS01115110,HUNTINGHOUSE BK AT ELMDALE RD,Rush Brook,NA,41.84676589,-71.61173114,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",6128513,PLD,5.004261879,4.283328931,4.119411504,3.715488026
T01115170,USGS01115170,MOSWANSICUT STREAM NR NORTH SC,NA,x,41.84093269,-71.58450796,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",6128559,lake outlet,3.042703006,2.586701004,2.450957831,2.386755333
T01115183,USGS01115183,QUONAPAUG BK AT RT 116 NR NORT,Quonopaug Brook,NA,41.79759966,-71.58478565,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",6129613,PLD,1.750811094,1.601565907,1.303647986,1.504409391
T01115187,USGS01115187,PONAGANSET RIVER AT SOUTH FOST,Ponaganset River,NA,41.81871021,-71.70506767,"PONAGANSET RIVER AT SOUTH FOSTER, RI",6128661,PLD,11.78583955,10.5399963,10.36594081,8.038708951
T01115190,USGS01115190,DOLLY COLE BK AT OLD DANIELSON,Dolly Cole Brook,NA,41.82232131,-71.70034528,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",6128659,PLD,4.235499518,3.776675199,3.55789539,3.0460002
T01115265,USGS01115265,HEMLOCK BROOK AT KING ROAD NR,Hemlock Brook,NA,41.79065484,-71.69867853,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",6128769,PLD,6.847711425,6.037033333,5.895068821,5.104835007
T01115275,USGS01115275,"BEAR TREE BROOK NR CLAYVILLE,",Bear Tree Brook,NA,41.78259942,-71.67478879,"BEAR TREE BROOK NR CLAYVILLE, RI",6128827,PLD,0.590394374,0.532996031,0.513218277,0.503969787
T01115280,USGS01115280,CORK BK AT ROCKLAND SCITUATE R,Cork Brook,NA,41.80398827,-71.64978794,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",6128763,PLD,2.305998673,2.111405111,1.965864215,2.006169959
T01115297,USGS01115297,WILBUR HOLLOW BK AT OLD PLAINF,Wilbur Hollow Brook,NA,41.76482191,-71.63562072,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,6128907,PLD,3.918317897,3.482373995,3.213481625,3.309027273
T01115500,USGS01115500,"PAWTUXET RIVER AT FISKEVILLE,",NA,x,41.73287798,-71.54978423,"PAWTUXET RIVER AT FISKEVILLE, RI",6128987,prox impoundment,80.87117673,68.60625977,65.86228781,59.10619561
T01118000,USGS01118000,"WOOD RIVER AT HOPE VALLEY, RI",Wood River,NA,41.49815516,-71.7164561,"WOOD RIVER AT HOPE VALLEY, RI",6140122,"suburban, impoundment",74.03767421,61.82318399,57.06700892,55.222915
T01124151,USGS01124151,"QUINEBAUG R AT WEST THOMPSON,",Quinebaug River,NA,41.94343103,-71.90035004,"QUINEBAUG RIVER AT WEST THOMPSON, CT",6148415,prox impoundment,137.5604942,116.85228,98.64609207,90.58703894
T01125520,USGS01125520,QUINEBAUG RIVER AT COTTON BRID,Quinebaug River,NA,41.85843146,-71.92396171,QUINEBAUG RIVER AT COTTON BRIDGE ROAD NR POMFRET,6148647,"upstrm urban, impoundment",291.8703837,238.9469905,206.387268,181.333399
T01126720,USGS01126720,QUINEBAUG R NR PACKER CT,Quinebaug River,NA,41.65148737,-71.97062989,QUINEBAUG R NR PACKER CT,6149035,"upstrm urban, impoundment",536.2853341,446.014785,416.5267542,351.4995102
T01127000,USGS01127000,QUINEBAUG RIVER AT JEWETT CITY,Quinebaug River,NA,41.5978761,-71.98424159,"QUINEBAUG RIVER AT JEWETT CITY, CT",6149075,"upstrm urban, impoundment",608.5851245,502.8517963,470.74538,413.5551271
T01129200,USGS01129200,CONNECTICUT R BELOW INDIAN STR,Connecticut River,NA,45.04032368,-71.44397043,"CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH",4592169,prox impoundment,NA,NA,NA,NA
T01129500,USGS01129500,CONNECTICUT RIVER AT NORTH STR,Connecticut River,NA,44.74977166,-71.63120018,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",4593223,PLD,NA,NA,NA,NA
T01139830,USGS01139830,"PIKE HILL BR AB RICHARDSON RD,",Pike Hill Brook,NA,44.06395383,-72.30148518,"PIKE HILL BR AB RICHARDSON RD, NR BRADFORD, VT",4573945,PLD,4.227839263,3.183617525,2.97026244,2.346941687
T01139833,USGS01139833,PIKE HILL BR @ PIKE HILL RD W,Pike Hill Brook,NA,44.05784296,-72.28120671,"PIKE HILL BR @ PIKE HILL RD W X, NR BRADFORD, VT",4573945,PLD,4.227839263,3.183617525,2.97026244,2.346941687
T01139838,USGS01139838,PIKE HILL BROOK @ PIKE HILL RO,Pike Hill Brook,NA,44.05339875,-72.25287248,"PIKE HILL BROOK @ PIKE HILL ROAD, NR BRADFORD, VT",4573945,PLD,4.227839263,3.183617525,2.97026244,2.346941687
T01170100,USGS01170100,"GREEN RIVER NEAR COLRAIN, MA",Green River,NA,42.70341695,-72.67064738,"GREEN RIVER NEAR COLRAIN, MA",10294622,PLD,41.61292816,34.6119624,33.82840117,20.81958389
T01184000,USGS01184000,CONNECTICUT RIVER AT THOMPSONV,NA,x,41.98731861,-72.60536691,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",7700898,"upstrm urban, impoundment",NA,NA,NA,NA
T01187850,USGS01187850,"CLEAR BK NR COLLINSVILLE, CT.",NA,x,41.79543663,-72.95078516,"CLEAR BK NR COLLINSVILLE, CT.",NA,PLD,NA,NA,NA,NA
T01209700,USGS01209700,"NORWALK R AT SOUTH WILTON, CT.",Norwalk River,NA,41.16370741,-73.4192867,"NORWALK RIVER AT SOUTH WILTON, CT",7732387,suburban,21.86578206,19.5791844,17.11280085,14.4427403
T01209710,USGS01209710,"NORWALK RIVER AT WINNIPAUK,CT.",Norwalk River,NA,41.13537426,-73.42623103,"NORWALK RIVER AT WINNIPAUK,CT.",7732571,suburban,23.87144924,21.63812074,18.80666256,16.33214526
T01309500,USGS01309500,MASSAPEQUA CREEK AT MASSAPEQUA,Massapequa Creek,NA,40.68898941,-73.45484622,MASSAPEQUA CREEK AT MASSAPEQUA NY,9499694,suburban,31.99832223,28.72482581,27.74821961,26.21010805
T01314000,USGS01314000,"HUDSON R AT GOOLEY, NEAR INDIA",Hudson River,NA,43.83423076,-74.19542549,"HUDSON R AT GOOLEY, NEAR INDIAN LAKE NY",22306517,PLD,413.0237279,340.977896,343.0484568,293.5402889
T01315081,USGS01315081,INDIAN RIVER BLW LAKE ABANAKEE,Indian River,NA,43.79872222,-74.22952778,INDIAN RIVER BLW LAKE ABANAKEE NR INDIAN LAKE NY,22306623,prox impoundment,189.4863272,162.7651471,157.8949495,142.2476654
T01315083,USGS01315083,INDIAN RIVER ABOVE MOUTH NEAR,Indian River,NA,43.81322222,-74.21041667,INDIAN RIVER ABOVE MOUTH NEAR INDIAN LAKE NY,22306567,upstrm impoundment,191.1457359,164.3352666,159.4032106,144.6122227
T01315095,USGS01315095,HUDSON RIVER NEAR NORTH RIVER,Hudson River,NA,43.81944444,-74.13836111,HUDSON RIVER NEAR NORTH RIVER NY,22306537,PLD,619.312922,511.0701667,530.9834661,458.9037523
T01315340,USGS01315340,HUDSON RIVER AT NORTH RIVER NY,Hudson River,NA,43.74474624,-74.056723,HUDSON RIVER AT NORTH RIVER NY,22306609,PLD,733.197602,605.2666889,613.5876962,541.9422569
T01349150,USGS01349150,CANAJOHARIE CREEK NR CANAJOHAR,Canajoharie Creek,NA,42.87634612,-74.60276894,CANAJOHARIE CREEK NEAR CANAJOHARIE NY,22745373,intensive agric,39.41946885,36.00798459,30.80480711,16.13591852
T01359114,USGS01359114,SURVEY CREEK AT TECH PARK SOUT,Hudson River,NA,42.68002121,-73.69311832,SURVEY CREEK AT TECH PARK SOUTH OF TROY NY,NA,suburban,NA,NA,NA,NA
T01359133,USGS01359133,PATROON CR AT NORTHERN BLVD AT,Hudson River,m,42.67167315,-73.75550479,PATROON CR AT NORTHERN BLVD AT ALBANY NY,NA,urban,NA,NA,NA,NA
T01362500,USGS01362500,ESOPUS CREEK AT COLDBROOK NY,Esopus Creek,NA,42.01425877,-74.27070269,ESOPUS CREEK AT COLDBROOK NY,6189754,upstrm diversion input,214.5170108,209.191074,176.3410926,120.9148483
T01377451,USGS01377451,Pascack Bk at Woodcliff Lk out,Pascack Brook,NA,41.01194444,-74.04805556,Pascack Bk at Woodcliff Lk outlet at Hillsdale NJ,6246218,"prox impoundment, upstrm suburban",27.06862746,24.6926,25.02845825,21.43314291
T01381800,USGS01381800,Whippany River near Pine Brook,Whippany River,NA,40.845,-74.34722222,Whippany River near Pine Brook NJ,6249998,upstrm suburban,97.82960664,89.67026698,95.22330857,78.00533682
T01388000,USGS01388000,Ramapo River at Pompton Lakes,Ramapo River,NA,40.99194444,-74.28,Ramapo River at Pompton Lakes NJ,6250614,"prox impoundment, upstrm suburban",149.5252498,156.650593,141.3937696,113.2766838
T01389005,USGS01389005,Passaic River below Pompton Ri,Passaic River,NA,40.89638889,-74.26916667,Passaic River below Pompton Riv at Two Bridges NJ,6251122,suburban,670.1949094,684.5377903,634.477761,494.5211765
T01400500,USGS01400500,Raritan River at Manville NJ,Raritan River,NA,40.55555556,-74.58277778,Raritan River at Manville NJ,9513852,upstrm urban,588.6539744,533.7134773,514.7306567,356.7721892
T01401750,USGS01401750,Millstone River at Griggstown,Millstone River,NA,40.44,-74.6175,Millstone River at Griggstown NJ,9514816,upstrm suburban,203.4012424,181.8383147,150.9708162,107.4466766
T01402500,USGS01402500,Millstone River at Millstone N,Millstone River,NA,40.50277778,-74.5875,Millstone River at Millstone NJ,9513872,upstrm suburban,230.7898354,206.3703816,173.6672885,122.7405204
T01408029,USGS01408029,Manasquan River near Allenwood,Manasquan River,NA,40.14666667,-74.12222222,Manasquan River near Allenwood NJ,9441199,upstrm suburban,57.8553481,51.08854147,49.65296475,39.27211029
T01417500,USGS01417500,EAST BR DELAWARE RIVER AT HARV,East Branch Delaware River,NA,42.02458333,-75.11927778,EAST BRANCH DELAWARE RIVER AT HARVARD NY,1749281,upstrm impoundment,388.2719405,325.8270142,335.5529058,207.6627717
T01420500,USGS01420500,BEAVER KILL AT COOKS FALLS NY,Beaver Kill,NA,41.94647708,-74.97960864,BEAVER KILL AT COOKS FALLS NY,1750585,PLD,269.0694128,237.1715812,224.2265428,178.3047848
T01420980,USGS01420980,E BR DELAWARE RIVER ABV READ C,East Branch Delaware River,NA,41.97619833,-75.17072468,E BR DELAWARE RIVER ABV READ CR AT FISHS EDDY NY,1752137,upstrm impoundment,714.2898649,605.1446387,600.8041479,396.1554068
T01421000,USGS01421000,EAST BR DELAWARE R AT FISHS ED,East Branch Delaware River,NA,41.97314277,-75.17405814,EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY,1752137,upstrm impoundment,714.2898649,605.1446387,600.8041479,396.1554068
T01425000,USGS01425000,WEST BR DELAWARE RIVER AT STIL,West Branch Delaware River,NA,42.07480591,-75.39600945,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,2614238,prox impoundment,357.6405007,297.6269027,295.4735427,170.1346195
T01426000,USGS01426000,OQUAGA CREEK AT DEPOSIT NY,Oquaga Creek,NA,42.05869452,-75.42795465,OQUAGA CREEK AT DEPOSIT NY,2613826,PLD,50.33932348,41.90463928,36.70008641,22.99221469
T01426500,USGS01426500,WEST BRANCH DELAWARE RIVER AT,West Branch Delaware River,NA,42.00314017,-75.38350814,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,2614210,upstrm impoundment,457.6553495,380.3143979,362.8256576,222.2515641
T01427000,USGS01427000,WEST BRANCH DELAWARE RIVER AT,West Branch Delaware River,NA,41.95230852,-75.29156176,WEST BRANCH DELAWARE RIVER AT HANCOCK NY,2617286,upstrm impoundment,497.0525871,411.0426574,391.1533734,238.6815991
T01427207,USGS01427207,DELAWARE RIVER AT LORDVILLE NY,Delaware River,NA,41.86730991,-75.21378279,DELAWARE RIVER AT LORDVILLE NY,2617364,upstrm impoundment,1280.669482,1081.097882,1111.187135,663.8672548
T01427301,USGS01427301,DELAWARE RIVER NEAR HANKINS NY,Delaware River,NA,41.82369918,-75.11294667,DELAWARE RIVER NEAR HANKINS NY,2617392,upstrm impoundment,1338.945881,1121.494339,1167.356939,695.1301831
T01427510,USGS01427510,DELAWARE RIVER AT CALLICOON NY,Delaware River,NA,41.75675495,-75.05738968,DELAWARE RIVER AT CALLICOON NY,2617456,PLD,1448.652002,1214.952519,1144.343038,752.8846513
T01428500,USGS01428500,DELAWARE R ABOVE LACKAWAXEN R,Delaware River,NA,41.5089782,-74.98572346,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,2615318,PLD,1578.137262,1317.583396,1268.60845,818.2057854
T01428750,USGS01428750,West Branch Lackawaxen River n,West Branch Lackawaxen River,NA,41.67452998,-75.37601299,"West Branch Lackawaxen River near Aldenville, PA",2739748,PLD,37.4546947,30.7401236,34.21326517,21.89402398
T01429000,USGS01429000,West Branch Lackawaxen River a,West Branch Lackawaxen River,NA,41.58730898,-75.32684487,"West Branch Lackawaxen River at Prompton, PA",2739772,prox impoundment,50.26549709,39.28758468,45.35551244,27.43893306
T01431500,USGS01431500,"Lackawaxen River at Hawley, PA",Lackawaxen River,NA,41.47615426,-75.17222403,"Lackawaxen River at Hawley, PA",2743198,PLD,215.0693353,168.6602323,199.5025601,114.890056
T01432110,USGS01432110,"Lackawaxen River at Rowland, P",Lackawaxen River,NA,41.47592282,-75.03628096,"Lackawaxen River at Rowland, PA",2743148,upstrm impoundment,446.4960503,344.5777043,356.4783954,217.7459352
T01432160,USGS01432160,DELAWARE RIVER AT BARRYVILLE N,Delaware River,NA,41.47536824,-74.91238898,DELAWARE RIVER AT BARRYVILLE NY,4151388,PLD,2041.30395,1682.046608,1772.536479,1056.757651
T01432805,USGS01432805,DELAWARE RIVER AT POND EDDY NY,Delaware River,NA,41.43898082,-74.81933176,DELAWARE RIVER AT POND EDDY NY,4151438,PLD,2177.021398,1786.85669,1945.333787,1141.548078
T01434000,USGS01434000,DELAWARE RIVER AT PORT JERVIS,Delaware River,NA,41.3706493,-74.6973853,DELAWARE RIVER AT PORT JERVIS NY,4151524,PLD,2367.006046,1951.276511,2103.701876,1231.860813
T01436690,USGS01436690,NEVERSINK RIVER AT BRIDGEVILLE,Neversink River,NA,41.63806421,-74.61688274,NEVERSINK RIVER AT BRIDGEVILLE NY,4147634,upstrm impoundment,210.7793887,190.2325034,201.8751515,137.6442687
T01437351,USGS01437351,PINE KILL ABOVE WESTBROOKVILLE,Pine Kill,NA,41.51398186,-74.57793824,PINE KILL ABOVE WESTBROOKVILLE NY,4147858,PLD,13.26523345,13.47555948,11.72501346,9.112550509
T01447500,USGS01447500,Lehigh River at Stoddartsville,Lehigh River,NA,41.13036262,-75.62546704,"Lehigh River at Stoddartsville, PA",4185679,PLD,82.78831358,80.9570333,70.15764064,54.88313426
T01447720,USGS01447720,Tobyhanna Creek near Blakeslee,Tobyhanna Creek,NA,41.08480822,-75.60546665,"Tobyhanna Creek near Blakeslee, PA",4185779,"upstrm suburban, impoundment",114.3200785,116.2356303,98.38209699,64.25713333
T01447800,USGS01447800,Lehigh R bl Francis E Walter R,Lehigh River,NA,41.10480622,-75.73213624,Lehigh R bl Francis E Walter Res nr White Haven PA,4186403,prox impoundment,266.7873868,273.2026464,238.9578247,182.4997053
T01449360,USGS01449360,"Pohopoco Creek at Kresgeville,",Pohopoco Creek,NA,40.8975919,-75.50240767,"Pohopoco Creek at Kresgeville, PA",4187925,PLD,49.88301335,47.61487552,41.09907701,31.39046877
T01449800,USGS01449800,Pohopoco Cr bl Beltzville Dam,Pohopoco Creek,NA,40.84564756,-75.64574371,"Pohopoco Cr bl Beltzville Dam nr Parryville, PA",4187341,prox impoundment,96.89975792,92.48693078,78.16154437,62.32937867
T01451800,USGS01451800,Jordan Creek near Schnecksvill,Jordan Creek,NA,40.66170472,-75.62686403,"Jordan Creek near Schnecksville, PA",4187713,PLD,50.28074719,48.55313636,33.94775608,29.70502569
T01454720,USGS01454720,"Lehigh River at Easton, PA",Lehigh River,NA,40.68676549,-75.20850975,"Lehigh River at Easton, PA",4188251,prox & upstrm urban,1420.650043,1220.823315,1129.838464,945.2000224
T01460200,USGS01460200,Delaware R below Tohickon Cr a,Delaware River,NA,40.41905557,-75.05853192,"Delaware R below Tohickon Cr at Point Pleasant, PA",932040295,"upstrm urban, impoundment",5658.556784,4613.618097,4265.266135,2855.735027
T01463500,USGS01463500,Delaware River at Trenton NJ,Delaware River,NA,40.22166667,-74.77805556,Delaware River at Trenton NJ,2590277,"prox & upstrm urban, impoundment",5855.660315,4722.77437,4479.118941,2938.63018
T01464907,USGS01464907,Little Neshaminy C at Valley R,Little Neshaminy Creek,NA,40.22927456,-75.11961605,Little Neshaminy C at Valley Road nr Neshaminy PA,4482885,suburban,22.33135445,21.76203383,18.65429731,16.28030508
T01465798,USGS01465798,Poquessing Creek at Grant Ave.,Poquessing Creek,NA,40.05705567,-74.98516935,"Poquessing Creek at Grant Ave. at Philadelphia, PA",4488242,suburban,17.1059557,17.68027211,12.74285793,11.82283319
T01467042,USGS01467042,"Pennypack Creek at Pine Road,",Pennypack Creek,NA,40.08983289,-75.0690611,"Pennypack Creek at Pine Road, at Philadelphia, PA",4489170,suburban,28.59255125,27.56886472,22.0128774,20.75764449
T01467048,USGS01467048,Pennypack Cr at Lower Rhawn St,Pennypack Creek,NA,40.05011137,-75.03267127,"Pennypack Cr at Lower Rhawn St Bdg, Phila., PA",4489178,suburban,38.70700622,37.80765907,29.72995076,26.36380937
T01467086,USGS01467086,"Tacony Creek ab Adams Avenue,",NA,x,40.04650038,-75.11073008,"Tacony Creek ab Adams Avenue, Philadelphia, PA",4489180,suburban,12.96865923,12.89701619,10.53694567,8.997235237
T01467087,USGS01467087,"Frankford Creek at Castor Ave,",Frankford Creek,NA,40.0159454,-75.09684111,"Frankford Creek at Castor Ave, Philadelphia, PA",4489096,suburban,23.3683233,25.33247203,19.27402141,17.38151658
T01467150,USGS01467150,Cooper River at Haddonfield NJ,Cooper River,NA,39.90305556,-75.02138889,Cooper River at Haddonfield NJ,4494690,"prox impoundment, upstrm suburban",13.44226319,12.98216945,9.635929195,8.193550857
T01467200,USGS01467200,Delaware R at Ben Franklin Bri,Delaware River,NA,39.95316832,-75.134343,Delaware R at Ben Franklin Bridge at Philadelphia,4495952,"prox & upstrm urban, impoundment",6792.582529,5431.166276,5741.553055,3794.535391
T01467471,USGS01467471,Schuylkill River ab Mill Creek,Schuylkill River,NA,40.69374722,-76.16477222,"Schuylkill River ab Mill Creek at Port Carbon, PA",4779457,"suburban, mining",28.04177094,21.36068837,20.80417619,14.54400748
T01470779,USGS01470779,Tulpehocken Creek near Bernvil,Tulpehocken Creek,NA,40.41342582,-76.17161284,"Tulpehocken Creek near Bernville, PA",4783101,"suburban, intensive agric",57.42465444,46.78932099,43.30434001,38.60811143
T01470960,USGS01470960,Tulpehocken Cr at Blue Marsh D,Tulpehocken Creek,NA,40.37064822,-76.02521594,Tulpehocken Cr at Blue Marsh Damsite near Reading,4783213,prox impoundment,147.7750099,112.4346667,115.1522847,87.07340006
T01472104,USGS01472104,Schuylkill River at Vincent Da,Schuylkill River,NA,40.20621166,-75.56546313,"Schuylkill River at Vincent Dam at Linfield, PA",4782471,upstrm urban,978.3701914,812.8556298,722.8602396,606.4179677
T01472157,USGS01472157,French Creek near Phoenixville,French Creek,NA,40.15171714,-75.60123938,"French Creek near Phoenixville, PA",4782153,PLD,65.13565783,53.26384174,51.11245537,35.19399529
T01473900,USGS01473900,Wissahickon Creek at Fort Wash,Wissahickon Creek,NA,40.12399872,-75.2198992,"Wissahickon Creek at Fort Washington, PA",4781731,suburban,32.61311174,31.91950564,27.64801657,23.21073996
T01474000,USGS01474000,"Wissahickon Creek at Mouth, Ph",Wissahickon Creek,NA,40.01539003,-75.20684594,"Wissahickon Creek at Mouth, Philadelphia, PA",4782187,suburban,50.91758992,51.38196436,43.16661649,35.45398897
T01474500,USGS01474500,Schuylkill River at Philadelph,Schuylkill River,NA,39.9678905,-75.18851233,"Schuylkill River at Philadelphia, PA",4784831,prox & upstrm urban,2283.163966,2288.040061,2011.877467,1954.191399
T01474703,USGS01474703,Delaware River at Fort Mifflin,Schuylkill River,m,39.87927701,-75.20268604,"Delaware River at Fort Mifflin at Philadelphia, PA",4496040,"prox & upstrm urban, impoundment",7745.172172,7249.734433,6166.704051,4954.206755
T01475530,USGS01475530,Cobbs Cr at U.S. Hghwy No. 1 a,Cobbs Creek,NA,39.97483455,-75.27990665,"Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA",4495656,suburban,5.500987752,5.14824899,5.012837693,3.742686746
T01477050,USGS01477050,"Delaware River at Chester, PA",Delaware River,NA,39.83677934,-75.36630199,"Delaware River at Chester, PA",4496278,"prox & upstrm urban, impoundment",7884.011887,7425.392711,6245.457116,5039.0008
T01477120,USGS01477120,Raccoon Creek near Swedesboro,Raccoon Creek,NA,39.74055556,-75.25916667,Raccoon Creek near Swedesboro NJ,4495818,"upstrm suburban, impoundment",23.98258181,24.67944437,19.91978159,19.23249863
