SITECODE,SITENAME,GNIS_NAME,lon,lat
USGS01115275,"BEAR TREE BROOK NR CLAYVILLE,",Bear Tree Brook,-71.67478879,41.78259942
USGS01115280,CORK BK AT ROCKLAND SCITUATE R,Cork Brook,-71.64978794,41.8039882700001
USGS01115297,WILBUR HOLLOW BK AT OLD PLAINF,Wilbur Hollow Brook,-71.63562072,41.76482191
USGS01115500,"PAWTUXET RIVER AT FISKEVILLE,","",-71.54978423,41.73287798
USGS01118000,"WOOD RIVER AT HOPE VALLEY, RI",Wood River,-71.7164561,41.49815516
USGS01124151,"QUINEBAUG R AT WEST THOMPSON,",Quinebaug River,-71.90035004,41.94343103
USGS01125520,QUINEBAUG RIVER AT COTTON BRID,Quinebaug River,-71.92396171,41.85843146
USGS01126720,QUINEBAUG R NR PACKER CT,Quinebaug River,-71.97062989,41.65148737
USGS01127000,QUINEBAUG RIVER AT JEWETT CITY,Quinebaug River,-71.98424159,41.5978761
USGS01129200,CONNECTICUT R BELOW INDIAN STR,Connecticut River,-71.44397043,45.04032368
USGS01129500,CONNECTICUT RIVER AT NORTH STR,Connecticut River,-71.63120018,44.74977166
USGS01139830,"PIKE HILL BR AB RICHARDSON RD,",Pike Hill Brook,-72.30148518,44.06395383
USGS01139833,PIKE HILL BR @ PIKE HILL RD W,Pike Hill Brook,-72.28120671,44.05784296
USGS01139838,PIKE HILL BROOK @ PIKE HILL RO,Pike Hill Brook,-72.25287248,44.05339875
USGS01170100,"GREEN RIVER NEAR COLRAIN, MA",Green River,-72.67064738,42.70341695
USGS01184000,CONNECTICUT RIVER AT THOMPSONV,"",-72.60536691,41.98731861
USGS01187850,"CLEAR BK NR COLLINSVILLE, CT.","",-72.9507851622193,41.7954366270804
USGS01209700,"NORWALK R AT SOUTH WILTON, CT.",Norwalk River,-73.4192867,41.16370741
USGS01209710,"NORWALK RIVER AT WINNIPAUK,CT.",Norwalk River,-73.42623103,41.13537426
USGS01309500,MASSAPEQUA CREEK AT MASSAPEQUA,Massapequa Creek,-73.45484622,40.68898941
USGS01314000,"HUDSON R AT GOOLEY, NEAR INDIA",Hudson River,-74.19542549,43.83423076
USGS01315081,INDIAN RIVER BLW LAKE ABANAKEE,Indian River,-74.22952778,43.79872222
USGS01315083,INDIAN RIVER ABOVE MOUTH NEAR,Indian River,-74.21041667,43.81322222
USGS01315095,HUDSON RIVER NEAR NORTH RIVER,Hudson River,-74.13836111,43.81944444
USGS01315340,HUDSON RIVER AT NORTH RIVER NY,Hudson River,-74.0567230017557,43.7447462384719
USGS01349150,CANAJOHARIE CREEK NR CANAJOHAR,Canajoharie Creek,-74.6027689382861,42.8763461209907
USGS01359114,SURVEY CREEK AT TECH PARK SOUT,Hudson River,-73.6931183199331,42.6800212064702
USGS01359133,PATROON CR AT NORTHERN BLVD AT,Hudson River,-73.7555047948803,42.6716731473164
USGS01362500,ESOPUS CREEK AT COLDBROOK NY,Esopus Creek,-74.27070269,42.01425877
USGS01377451,Pascack Bk at Woodcliff Lk out,Pascack Brook,-74.04805556,41.01194444
USGS01381800,Whippany River near Pine Brook,Whippany River,-74.34722222,40.845
USGS01388000,Ramapo River at Pompton Lakes,Ramapo River,-74.28,40.99194444
USGS01389005,Passaic River below Pompton Ri,Passaic River,-74.26916667,40.89638889
USGS01400500,Raritan River at Manville NJ,Raritan River,-74.58277778,40.55555556
USGS01401750,Millstone River at Griggstown,Millstone River,-74.6175,40.44
USGS01402500,Millstone River at Millstone N,Millstone River,-74.5875,40.50277778
USGS01408029,Manasquan River near Allenwood,Manasquan River,-74.12222222,40.14666667
USGS01417500,EAST BR DELAWARE RIVER AT HARV,East Branch Delaware River,-75.11927778,42.02458333
USGS01420500,BEAVER KILL AT COOKS FALLS NY,Beaver Kill,-74.97960864,41.94647708
USGS01420980,E BR DELAWARE RIVER ABV READ C,East Branch Delaware River,-75.17072468,41.9761983300001
USGS01421000,EAST BR DELAWARE R AT FISHS ED,East Branch Delaware River,-75.17405814,41.97314277
USGS01425000,WEST BR DELAWARE RIVER AT STIL,West Branch Delaware River,-75.39600945,42.07480591
USGS01426000,OQUAGA CREEK AT DEPOSIT NY,Oquaga Creek,-75.42795465,42.05869452
USGS01426500,WEST BRANCH DELAWARE RIVER AT,West Branch Delaware River,-75.38350814,42.00314017
USGS01427000,WEST BRANCH DELAWARE RIVER AT,West Branch Delaware River,-75.29156176,41.95230852
USGS01427207,DELAWARE RIVER AT LORDVILLE NY,Delaware River,-75.21378279,41.86730991
USGS01427301,DELAWARE RIVER NEAR HANKINS NY,Delaware River,-75.11294667,41.82369918
USGS01427510,DELAWARE RIVER AT CALLICOON NY,Delaware River,-75.05738968,41.75675495
USGS01428500,DELAWARE R ABOVE LACKAWAXEN R,Delaware River,-74.98572346,41.5089782
USGS01428750,West Branch Lackawaxen River n,West Branch Lackawaxen River,-75.37601299,41.67452998
USGS01429000,West Branch Lackawaxen River a,West Branch Lackawaxen River,-75.32684487,41.5873089800001
USGS01431500,"Lackawaxen River at Hawley, PA",Lackawaxen River,-75.1722240256846,41.4761542565847
USGS01432110,"Lackawaxen River at Rowland, P",Lackawaxen River,-75.03628096,41.47592282
USGS01432160,DELAWARE RIVER AT BARRYVILLE N,Delaware River,-74.91238898,41.47536824
USGS01432805,DELAWARE RIVER AT POND EDDY NY,Delaware River,-74.81933176,41.43898082
USGS01434000,DELAWARE RIVER AT PORT JERVIS,Delaware River,-74.6973853,41.3706493
USGS01436690,NEVERSINK RIVER AT BRIDGEVILLE,Neversink River,-74.61688274,41.63806421
USGS01437351,PINE KILL ABOVE WESTBROOKVILLE,Pine Kill,-74.57793824,41.51398186
USGS01447500,Lehigh River at Stoddartsville,Lehigh River,-75.62546704,41.13036262
USGS01447720,Tobyhanna Creek near Blakeslee,Tobyhanna Creek,-75.60546665,41.08480822
USGS01447800,Lehigh R bl Francis E Walter R,Lehigh River,-75.73213624,41.10480622
USGS01449360,"Pohopoco Creek at Kresgeville,",Pohopoco Creek,-75.50240767,40.8975919
USGS01449800,Pohopoco Cr bl Beltzville Dam,Pohopoco Creek,-75.64574371,40.84564756
USGS01451800,Jordan Creek near Schnecksvill,Jordan Creek,-75.6268640265855,40.6617047189917
USGS01454720,"Lehigh River at Easton, PA",Lehigh River,-75.20850975,40.68676549
USGS01460200,Delaware R below Tohickon Cr a,Delaware River,-75.0585319216841,40.4190555684348
USGS01463500,Delaware River at Trenton NJ,Delaware River,-74.77805556,40.22166667
USGS01464907,Little Neshaminy C at Valley R,Little Neshaminy Creek,-75.11961605,40.22927456
USGS01465798,Poquessing Creek at Grant Ave.,Poquessing Creek,-74.98516935,40.05705567
USGS01467042,"Pennypack Creek at Pine Road,",Pennypack Creek,-75.0690611,40.08983289
USGS01467048,Pennypack Cr at Lower Rhawn St,Pennypack Creek,-75.03267127,40.05011137
USGS01467086,"Tacony Creek ab Adams Avenue,","",-75.11073008,40.04650038
USGS01467087,"Frankford Creek at Castor Ave,",Frankford Creek,-75.09684111,40.0159454
USGS01467150,Cooper River at Haddonfield NJ,Cooper River,-75.02138889,39.90305556
USGS01467200,Delaware R at Ben Franklin Bri,Delaware River,-75.134343,39.95316832
USGS01467471,Schuylkill River ab Mill Creek,Schuylkill River,-76.16477222,40.69374722
USGS01470779,Tulpehocken Creek near Bernvil,Tulpehocken Creek,-76.17161284,40.41342582
USGS01470960,Tulpehocken Cr at Blue Marsh D,Tulpehocken Creek,-76.02521594,40.37064822
USGS01472104,Schuylkill River at Vincent Da,Schuylkill River,-75.56546313,40.20621166
USGS01472157,French Creek near Phoenixville,French Creek,-75.6012393778775,40.151717140163
USGS01473900,Wissahickon Creek at Fort Wash,Wissahickon Creek,-75.2198992,40.12399872
USGS01474000,"Wissahickon Creek at Mouth, Ph",Wissahickon Creek,-75.20684594,40.01539003
USGS01474500,Schuylkill River at Philadelph,Schuylkill River,-75.18851233,39.9678905
USGS01474703,Delaware River at Fort Mifflin,Schuylkill River,-75.2026860381691,39.8792770130646
USGS01475530,Cobbs Cr at U.S. Hghwy No. 1 a,Cobbs Creek,-75.27990665,39.97483455
USGS01477050,"Delaware River at Chester, PA",Delaware River,-75.36630199,39.83677934
USGS01477120,Raccoon Creek near Swedesboro,Raccoon Creek,-75.25916667,39.74055556
USGS01480400,"Birch Run near Wagontown, PA",Birch Run,-75.84494493,40.02732614
USGS01480500,West Branch Brandywine Creek a,West Branch Brandywine Creek,-75.82744675,39.98566144
USGS01480617,West Branch Brandywine Creek a,West Branch Brandywine Creek,-75.80133411,39.96177343
USGS01480870,East Branch Brandywine Creek b,East Branch Brandywine Creek,-75.67327152,39.96871912
USGS01481000,Brandywine Creek at Chadds For,Brandywine Creek,-75.59326233,39.8698328
USGS01481500,BRANDYWINE CREEK AT WILMINGTON,Brandywine Creek,-75.57327778,39.76941667
USGS01483500,"LEIPSIC RIVER NEAR CHESWOLD, D",Leipsic River,-75.6321503,39.23288938
USGS01483666,"Penrose B nr Pearsons Corner,",Penrose Branch,-75.63277778,39.16361111
USGS01483990,Black Swamp C nr Mastens Corne,Black Swamp Creek,-75.6015537518871,38.9758017004488
USGS01484036,"Hudson B at Canterbury, DE",Hudson Branch,-75.54714644,39.03900176
USGS01484050,"PRATT BRANCH NEAR FELTON, DE",Pratt Branch,-75.52897222,39.01027778
USGS01484534,"SWAN CREEK NEAR MILLSBORO, DE",Swan Creek,-75.25609451,38.62290468
USGS01484640,"Unity Branch at Fairmount, DE",Unity Branch,-75.22194444,38.6625
USGS01484645,PHILLIPS BRANCH NEAR FAIRMOUNT,Phillips Branch,-75.20824223,38.65844592
USGS01484652,"Bundicks Br nr Cool Spring, DE",Bundicks Branch,-75.24907716,38.7170568200001
USGS0148471320,"BIRCH BRANCH AT SHOWELL, MD",Birch Branch,-75.2124214363882,38.409672727444
USGS01484719,"BASSETT CREEK NEAR IRONSHIRE,","",-75.2450270368826,38.2676428074209
USGS01485030,"Aydylotte B at Pittsville, MD",Aydelotte Branch,-75.41464037,38.40094946
USGS01486100,"ANDREWS BRANCH NEAR DELMAR, MD",Andrews Branch,-75.52908933,38.4376164400001
USGS01487000,NANTICOKE RIVER NEAR BRIDGEVIL,Nanticoke River,-75.56186111,38.72833333
USGS01487250,"Chapel Br nr Seaford, DE",Chapel Branch,-75.63937259,38.64122562
USGS01487910,"Meadow Br at Little Acres, DE",Meadow Branch,-75.57722222,38.50638889
USGS01490140,LITTLE BLACKWATER RIVER AT SEW,Little Blackwater River,-76.08388889,38.44527778
USGS01490600,"MEREDITH BRANCH NEAR SANDTOWN,",Meredith Branch,-75.69742965,39.03983554
USGS01491020,"Gravelly Br nr Greensboro, MD",Gravelly Branch,-75.76382078,38.99094721
USGS01491050,"SPRING BRANCH NEAR GREENSBORO,",Spring Branch,-75.78993289,38.9428915200001
USGS01492900,"Jordan B nr Downs Chapel, DE",Jordan Branch,-75.70437512,39.21594478
USGS01493112,CHESTERVILLE BRANCH NEAR CRUMP,"",-75.94013889,39.25705556
USGS01493500,MORGAN CREEK NEAR KENNEDYVILLE,Morgan Creek,-76.01455556,39.28002778
USGS01545500,West Branch Susquehanna River,West Branch Susquehanna River,-77.75054245,41.32451129
USGS01546400,"Spring Creek at Houserville, P",Spring Creek,-77.82750108,40.83367261
USGS01555400,East Mahantango Creek at Kling,Mahantango Creek,-76.6912503627336,40.6637145910723
USGS01559795,"Bobs Creek near Pavia, PA",Bobs Creek,-78.5984310815126,40.2725492825609
USGS01563200,Rays Br Juniata R bl Rays Dam,Raystown Branch Juniata River,-77.99111351,40.42896398
USGS01567000,"Juniata River at Newport, PA",Juniata River,-77.1290118760739,40.4791575068893
USGS01569460,Big Spring Creek at Big Spring,Big Spring Creek,-77.40720746,40.129533
USGS01570500,Susquehanna River at Harrisbur,Susquehanna River,-76.88608461,40.25481164
USGS0157155010,"Swatara Creek, Site C1, at New",Swatara Creek,-76.34689652,40.65953336
USGS0157155014,"Swatara Creek, Site C3, at New",Swatara Creek,-76.34495201,40.65786674
USGS01571774,"Lorberry Creek, Site E2-0, at",Lorberry Creek,-76.43944444,40.59222222
USGS01571778,Lorberry Creek near Lorberry J,Lorberry Creek,-76.42606832,40.58758894
USGS01571820,"Swatara Creek at Ravine, PA",Swatara Creek,-76.40467851,40.58064485
USGS01572950,Indiantown Run near Harper Tav,Indiantown Run,-76.59829919,40.43897778
USGS01573482,"Manada Creek at Manada Gap, PA",Manada Creek,-76.70913512,40.40675469
USGS01576712,Little Conestoga Creek near Mi,Little Conestoga Creek,-76.35884968,40.02093138
USGS01592500,"PATUXENT RIV NEAR LAUREL, MD",Patuxent River,-76.87375,39.11572222
USGS01595200,"STONY RIVER NEAR MOUNT STORM,W",Stony River,-79.26226255,39.2695490500001
USGS01595500,NORTH BRANCH POTOMAC RIVER AT,North Branch Potomac River,-79.18169444,39.39388889
USGS01595800,NORTH BRANCH POTOMAC RIVER AT,North Branch Potomac River,-79.11080556,39.44511111
USGS01596500,"SAVAGE RIVER NEAR BARTON, MD",Savage River,-79.10194444,39.57005556
USGS01597500,SAVAGE RIV BL SAVAGE RIV DAM N,Savage River,-79.12397222,39.50275
USGS01598500,NORTH BRANCH POTOMAC RIVER AT,North Branch Potomac River,-79.065,39.47919444
USGS01600000,NORTH BRANCH POTOMAC RIVER AT,North Branch Potomac River,-78.83955556,39.56680556
USGS01608070,SOUTH BRANCH POTOMAC RIVER NEA,South Branch Potomac River,-78.96002719,39.10399579
USGS01608500,SOUTH BRANCH POTOMAC RIVER NEA,South Branch Potomac River,-78.6541240142345,39.4472991194474
USGS01610400,"WAITES RUN NEAR WARDENSVILLE,",Waites Run,-78.5983671595937,39.0426239074355
USGS01611500,CACAPON RIVER NEAR GREAT CACAP,Cacapon River,-78.30973117,39.5823158000001
USGS01613900,"HOGUE CREEK NEAR HAYFIELD, VA",Hogue Creek,-78.28805916,39.2145479
USGS01614060,"POTOMAC RIVER AT WILLIAMSPORT,",Potomac River,-77.8470544906285,39.6081890148668
USGS01614830,OPEQUON CREEK NEAR STEPHENS CI,Opequon Creek,-78.20500111,39.10899481
USGS01615000,"OPEQUON CREEK NEAR BERRYVILLE,",Opequon Creek,-78.07833333,39.17472222
USGS01616100,"DRY MARSH RUN NEAR BERRYVILLE,",Dry Marsh Run,-78.06863056,39.19259167
USGS01616500,OPEQUON CREEK NEAR MARTINSBURG,Opequon Creek,-77.93860844,39.42371047
USGS01621050,"MUDDY CREEK AT MOUNT CLINTON,",Muddy Creek,-78.96030749,38.48679008
USGS01622000,"NORTH RIVER NEAR BURKETOWN, VA",North River,-78.91363852,38.3404051
USGS01625000,"MIDDLE RIVER NEAR GROTTOES, VA",Middle River,-78.8619703,38.26179616
USGS01626000,"SOUTH RIVER NEAR WAYNESBORO, V",South River,-78.90807949,38.05763621
USGS01627500,"SOUTH RIVER AT HARRISTON, VA",South River,-78.83669152,38.21874208
USGS01629500,S F SHENANDOAH RIVER NEAR LURA,South Fork Shenandoah River,-78.53473287,38.6462305
USGS01630700,"GOONEY RUN NEAR GLEN ECHO, VA",Gooney Run,-78.23194543,38.83511474
USGS01631000,S F SHENANDOAH RIVER AT FRONT,South Fork Shenandoah River,-78.21083388,38.91400059
USGS01632000,N F SHENANDOAH RIVER AT COOTES,North Fork Shenandoah River,-78.852803,38.63706254
USGS01632082,"LINVILLE CREEK AT BROADWAY, VA",Linville Creek,-78.80335705,38.60678588
USGS01632900,"SMITH CREEK NEAR NEW MARKET, V",Smith Creek,-78.64279353,38.69345016
USGS01633000,N F SHENANDOAH RIVER AT MOUNT,North Fork Shenandoah River,-78.63890417,38.74567048
USGS01634000,N F SHENANDOAH RIVER NEAR STRA,North Fork Shenandoah River,-78.33611522,38.9767759
USGS01634500,"CEDAR CREEK NEAR WINCHESTER, V",Cedar Creek,-78.32944861,39.08121763
USGS01635090,CEDAR CREEK ABOVE HWY 11 NEAR,Cedar Creek,-78.31639238,39.00677495
USGS01635500,"PASSAGE CREEK NEAR BUCKTON, VA",Passage Creek,-78.26666852,38.9581656400001
USGS01636242,CROOKED RUN BELOW HWY 340 AT R,Crooked Run,-78.1972225,38.95511013
USGS0163626650,MANASSAS RUN AT RT 645 NEAR FR,"",-78.1281021686891,38.9342194828729
USGS01636316,SPOUT RUN AT RT 621 NEAR MILLW,Spout Run,-78.00375278,39.067025
USGS01636770,"POTOMAC RIVER AT BRUNSWICK, MD","",-77.6270048656148,39.3080867914675
USGS01643700,"GOOSE CREEK NEAR MIDDLEBURG, V",Goose Creek,-77.79666143,38.98649818
USGS01644280,"BROAD RUN NEAR LEESBURG, VA",Broad Run,-77.43238889,39.0464166700001
USGS01645704,DIFFICULT RUN ABOVE FOX LAKE N,Difficult Run,-77.33242934,38.88469518
USGS01645762,S F LITTLE DIFFICULT RUN ABOVE,South Fork Little Difficult Run,-77.33826272,38.90888916
USGS01646000,DIFFICULT RUN NEAR GREAT FALLS,Difficult Run,-77.24581439,38.97594346
USGS01646305,DEAD RUN AT WHANN AVENUE NEAR,Dead Run,-77.17567426,38.9597771600001
USGS01646500,"POTOMAC RIVER NEAR WASH, DC LI",Potomac River,-77.12763889,38.94977778
USGS01648010,ROCK CREEK AT JOYCE RD WASHING,Rock Creek,-77.04175485,38.96027732
USGS01649190,PAINT BRANCH NEAR COLLEGE PARK,Paint Branch,-76.96427778,39.03313889
USGS01649500,NORTH EAST BRANCH ANACOSTIA RI,Northeast Branch Anacostia River,-76.92597222,38.96025
USGS01651000,NW BRANCH ANACOSTIA RIVER NEAR,Northwest Branch Anacostia River,-76.96605556,38.95233333
USGS01652500,"FOURMILE RUN AT ALEXANDRIA, VA",Four Mile Run,-77.08586111,38.84333333
USGS01654000,"ACCOTINK CREEK NEAR ANNANDALE,",Accotink Creek,-77.22831581,38.81289066
USGS01656000,"Cedar Run near Catlett, VA",Cedar Run,-77.62498972,38.63678689
USGS01656903,FLATLICK BRANCH ABOVE FROG BRA,Flatlick Branch,-77.43190475,38.88238992
USGS01658000,MATTAWOMAN CREEK NEAR POMONKEY,Mattawoman Creek,-77.05602778,38.59613889
USGS01660400,AQUIA CREEK NEAR GARRISONVILLE,Aquia Creek,-77.43359421,38.49040138
USGS01663500,"HAZEL RIVER AT RIXEYVILLE, VA",Hazel River,-77.9649962,38.59178867
USGS01665500,RAPIDAN RIVER NEAR RUCKERSVILL,Rapidan River,-78.34000705,38.28068606
USGS01666500,ROBINSON RIVER NEAR LOCUST DAL,Robinson River,-78.0955557,38.32513047
USGS01667500,"RAPIDAN RIVER NEAR CULPEPER, V",Rapidan River,-77.97499722,38.35040774
USGS01668000,RAPPAHANNOCK RIVER NEAR FREDER,Rappahannock River,-77.52915268,38.30846178
USGS01669000,PISCATAWAY CREEK NEAR TAPPAHAN,Piscataway Creek,-76.90052102,37.87708193
USGS01669520,"DRAGON SWAMP AT MASCOT, VA",Dragon Swamp,-76.69634683,37.63375293
USGS01671020,NORTH ANNA RIVER AT HART CORNE,North Anna River,-77.42775949,37.85014024
USGS01671100,"LITTLE RIVER NEAR DOSWELL, VA",Little River,-77.51303916,37.87264013
USGS01672500,"SOUTH ANNA RIVER NEAR ASHLAND,",South Anna River,-77.54887441,37.79680902
USGS01673638,COHOKE MILL CREEK NEAR LESTER,Cohoke Mill Creek,-76.96246704,37.62681012
USGS01674000,MATTAPONI RIVER NEAR BOWLING G,Mattaponi River,-77.38581425,38.06180101
USGS01674500,MATTAPONI RIVER NEAR BEULAHVIL,Mattaponi River,-77.16527778,37.88388889
USGS02011400,"JACKSON RIVER NEAR BACOVA, VA",Jackson River,-79.88144394,38.04234707
USGS02011500,BACK CREEK NEAR MOUNTAIN GROVE,Back Creek,-79.89700034,38.0695688
USGS02011800,JACKSON RIVER BL GATHRIGHT DAM,Jackson River,-79.94922369,37.94845825
USGS02012800,JACKSON RIV AT FILTRATION PLAN,Jackson River,-79.98839065,37.81095852
USGS02013000,"DUNLAP CREEK NEAR COVINGTON, V",Dunlap Creek,-80.04700431,37.8029022300001
USGS02014000,"POTTS CREEK NEAR COVINGTON, VA","",-80.04228024,37.72901408
USGS02015700,BULLPASTURE RIVER AT WILLIAMSV,Bullpasture River,-79.57032338,38.19540308
USGS02016000,COWPASTURE RIVER NEAR CLIFTON,Cowpasture River,-79.75949166,37.79179587
USGS02016500,"JAMES RIVER AT LICK RUN, VA",James River,-79.78449253,37.77374009
USGS02017500,"JOHNS CREEK AT NEW CASTLE, VA",Johns Creek,-80.10671504,37.50623973
USGS02018000,"CRAIG CREEK AT PARR, VA",Craig Creek,-79.91143881,37.66596174
USGS02020500,CALFPASTURE RIVER ABOVE MILL C,Calfpasture River,-79.49365288,37.98790619
USGS02021500,MAURY RIVER AT ROCKBRIDGE BATH,Maury River,-79.42198289,37.90735266
USGS02024000,"MAURY RIVER NEAR BUENA VISTA,",Maury River,-79.3914251,37.76263275
USGS02025500,"JAMES RIVER AT HOLCOMB ROCK, V",James River,-79.26252874,37.50125081
USGS02026000,"JAMES RIVER AT BENT CREEK, VA",James River,-78.8294611,37.5362539
USGS02030000,HARDWARE RIVER BL BRIERY RUN N,Hardware River,-78.4552862,37.81264259
USGS02032640,N F RIVANNA RIVER NEAR EARLYSV,North Fork Rivanna River,-78.42473227,38.16346742
USGS02039500,"APPOMATTOX RIVER AT FARMVILLE,",Appomattox River,-78.38860698,37.3070965
USGS02040000,"APPOMATTOX RIVER AT MATTOAX, V",Appomattox River,-77.8588876,37.42153845
USGS02041000,"DEEP CREEK NEAR MANNBORO, VA",Deep Creek,-77.86972207,37.28320595
USGS02043270,NORTH LANDING RIVER NEAR CREED,North Landing River,-76.049973749229,36.6160985583158
USGS02043410,NORTHWEST RIVER ABOVE MOUTH NE,Northwest River,-76.08666667,36.51222222
USGS02043415,TULL CREEK AT SR 1222 NEAR CUR,Tull Creek,-76.0840771895792,36.4969923774447
USGS0204382800,PASQUOTANK RIVER NEAR SOUTH MI,Pasquotank River,-76.342533631678,36.4212064524237
USGS02044500,"NOTTOWAY RIVER NEAR RAWLINGS,",Nottoway River,-77.79971883,36.9834822
USGS02045500,NOTTOWAY RIVER NEAR STONY CREE,Nottoway River,-77.39969961,36.9001497800001
USGS02047500,"BLACKWATER RIVER NEAR DENDRON,",Blackwater River,-76.87468243,37.02514993
USGS02051500,MEHERRIN RIVER NEAR LAWRENCEVI,Meherrin River,-77.83165822,36.71681395
USGS02053800,S F ROANOKE RIVER NEAR SHAWSVI,South Fork Roanoke River,-80.26643281,37.14013231
USGS02056000,"ROANOKE RIVER AT NIAGARA, VA",Roanoke River,-79.87142539,37.25513843
USGS02059485,GOOSE CREEK AT RT 747 NEAR BUN,Goose Creek,-79.58777778,37.26638889
USGS02059500,"GOOSE CREEK NEAR HUDDLESTON, V",Goose Creek,-79.5203076,37.17319951
USGS02061000,"BIG OTTER RIVER NEAR BEDFORD,",Big Otter River,-79.41919689,37.36403026
USGS02061500,"BIG OTTER RIVER NEAR EVINGTON,",Big Otter River,-79.30363572,37.20847738
USGS02062500,ROANOKE (STAUNTON) RIVER AT BR,Roanoke River,-78.95029142,37.04125242
USGS02064000,"FALLING RIVER NEAR NARUNA, VA",Falling River,-78.95973745,37.12680956
USGS02065500,"CUB CREEK AT PHENIX, VA",Cub Creek,-78.76361777,37.07931121
USGS02070000,"NORTH MAYO RIVER NEAR SPENCER,",North Mayo River,-79.98726539,36.56819358
USGS02072000,"SMITH RIVER NEAR PHILPOTT, VA",Smith River,-80.02476468,36.7806925
USGS02073000,"SMITH RIVER AT MARTINSVILLE, V",Smith River,-79.8805946,36.6612486
USGS0207428225,WOLF ISLAND CREEK BELOW SR 199,Wolf Island Creek,-79.6837006253069,36.3735000917594
USGS02074500,"SANDY RIVER NEAR DANVILLE, VA",Sandy River,-79.50419322,36.61958252
USGS02075045,DAN RIVER AT STP NEAR DANVILLE,Dan River,-79.36974396,36.56263889
USGS02077000,"BANISTER RIVER AT HALIFAX, VA",Banister River,-78.91584382,36.77652672
USGS02077200,"HYCO CREEK NEAR LEASBURG, NC",Hyco Creek,-79.19666667,36.39777778
USGS02077303,HYCO R BL ABAY D NR MCGEHEES M,Hyco River,-78.9975,36.5225000000001
USGS02079500,"ROANOKE RIVER AT BUGGS ISLAND,",Roanoke River,-78.29777433,36.60319824
USGS02079640,"ALLEN CREEK NEAR BOYDTON, VA",Allen Creek,-78.32666397,36.6795858900001
USGS0208062765,"ROANOKE RIVER AT HALIFAX, NC",Roanoke River,-77.58027778,36.33111111
USGS0208102001,KEHUKEE SWAMP AT MOUTH NEAR PA,"",-77.31638889,36.08638889
